name,subname,epp,sd,alde,greens,efdd,gue,ni,new,ecr,enf,id,re
Slovenia,,3 (-2),2 (+1),2 (+1),0 (-1),,,,1 (+1),,,,
Estonia,,1 (0),1 (0),3 (0),0 (-1),,,,1 (+1),,,,
France,,12 (-8),5 (-7),21 (+14),7 (+1),0 (-6),7 (+2),0 (-3),,,22 (+7),,
Germany,,27 (-7),16 (-11),11 (+7),18 (+5),11 (+10),7 (-1),3 (+1),3 (+3),0 (-6),0 (-1),,
Poland,,16 (-6),4 (-1),,,0 (-1),,0 (-3),10 (+10),21 (+3),0 (-2),,
Spain,,11 (-6),18 (+4),10 (+2),3 (-2),,6 (-4),,6 (+6),,,,
Bulgaria,,6 (-1),5 (+1),2 (-2),,,,,3 (+3),1 (-1),,,
Greece,,9 (+4),2 (-2),,,,7 (+1),3 (-2),,0 (-1),,,
Ireland,,3 (-1),1 (0),3 (+2),1 (+1),,2 (-2),,1 (+1),0 (-1),,,
Portugal,,8 (0),9 (+1),0 (-1),,,4 (0),,,,,,
United Kingdom,England,0 (-2),14 (-3),9 (+8),1 (-2),28 (+12),,0 (-2),,8 (-8),0 (-3),,
Croatia,,5 (0),3 (+1),1 (-1),0 (-1),,,,2 (+2),0 (-1),,,
Finland,,3 (0),2 (0),3 (-1),2 (+1),,1 (0),,,2 (0),,,
Latvia,,1 (-3),1 (0),0 (-1),1 (0),,,,4 (+4),1 (0),,,
Romania,,12 (-1),8 (-5),6 (+3),,,,0 (-1),6 (+6),0 (-2),,,
Sweden,,5 (+1),5 (-1),2 (-1),2 (-2),,2 (+1),,,4 (+2),,,
United Kingdom,Wales,,1 (0),,1 (0),2 (+1),,,,0 (-1),,,
Netherlands,,3 (-2),3 (0),7 (0),3 (+1),,2 (-1),,6 (+6),2 (0),0 (-4),,
United Kingdom,Northern Ireland,,1 (+1),,,,1 (0),1 (0),,0 (-1),,,
Cyprus,,2 (+1),1 (-1),,,,2 (0),,1 (+1),0 (-1),,,
United Kingdom,Scotland,,1 (0),,3 (+1),1 (0),,,,1 (0),,,
Czech Republic,,4 (-3),2 (-2),5 (+1),,0 (-1),1 (-2),,4 (+4),4 (+2),1 (+1),,
Denmark,,0 (-1),5 (+2),4 (+1),1 (0),,1 (0),0 (-1),,2 (-1),,,
Austria,,6 (+1),5 (0),1 (0),1 (-2),,,,,,5 (+1),,
Malta,,2 (-1),4 (+1),,,,,,,,,,
Belgium,Dutch-speaking,2 (+1),1 (-2),1 (-2),2 (+1),,,,2 (+2),4 (+4),,,
Belgium,French-speaking,1 (-1),3 (+2),2 (-1),2 (+1),,,,,0 (-4),0 (-1),,
Italy,,8 (-5),17 (-14),,0 (-1),18 (+4),0 (-3),0 (-1),,4 (0),26 (+20),,
Lithuania,,3 (0),1 (-1),2 (-1),3 (+2),0 (-1),,,1 (+1),1 (0),,,
Hungary,,12 (0),4 (0),1 (+1),1 (-1),,,3 (0),,,,,
Slovakia,,2 (-4),3 (-1),,,1 (+1),,2 (+2),2 (+2),2 (-1),1 (+1),,
Luxembourg,,3 (0),1 (0),1 (0),1 (0),,,,,,,,
